Initialising login role...
current_cat,suggested,name,brand
abito,camicia,Camicia a righe regular fit,Massimo Dutti
abito,camicia,Camicia in twill a righe slim fit,Massimo Dutti
abito,camicia,Camicia slim fit a righe 100% cotone,Massimo Dutti
abito,pantaloni,Pantaloni completo in lana fresca,Massimo Dutti
abito,pantaloni,Pantaloni completo lana fresca,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni barrel fit tailored fit,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo a quadri in misto lana fredda,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo gamba larga in fresco lana,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo gessati in fresco lana,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo in fresco lana,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo in lana fredda 405,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo in lana fredda 801,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo in lino 707,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo microstruttura lana fredda,Massimo Dutti
abito,pantaloni-eleganti,Pantaloni da completo tailored fit 100% lino,Massimo Dutti
abito,shorts,Shorts in lino con pinces e coulisse,COS
abito,shorts,Shorts in lino con pinces e coulisse 1339420001,COS
blazer,giacche,Giacca Harrington in misto lana,Lacoste
blazer,giacche,Giacca Harrington in twill impermeabile,Lacoste
camicia,jeans,Overshirt oversize in denim,Lacoste
camicia,polo,Polo oversize in denim leggero,Lacoste
camicia,polo,Polo oversize in twill fluido,Lacoste
camicie,giacche,Giacca Casual 100% Lino Premium,Uniqlo
camicie,giacche,Giacca morbida con tasca in misto lana,Massimo Dutti
camicie,maglione,Maglione a Coste con Colletto a Righe,Uniqlo
camicie,maglione,Maglione con Colletto Cotone a Righe,Uniqlo
camicie,maglione,Maglione con Colletto Maniche Corte a Righe,Uniqlo
camicie,maglione,Maglione con Colletto Maniche Corte Bicolore,Uniqlo
camicie,maglione,Maglione Cotone Pointelle con Colletto Maniche Corte a Righe,Uniqlo
camicie,polo,Polo Cotone Maniche Lunghe a Righe,Uniqlo
camicie,polo,Polo Piqué a Righe,Uniqlo
camicie,polo,Polo Uncinetto Cotone,Uniqlo
camicie,t-shirt,MAGLIETTA COMPRESSIONE COLLO ZIP SCI,Zara
camicie,t-shirt,MAGLIETTA PRIMO STRATO SCI,Zara
camicie,top,Top halter allacciato satinato,Massimo Dutti
chinos,camicia,Camicia regular fit in lino con taschino,Massimo Dutti
chinos,jogger,Joggers in tessuto felpato loose fit,Lacoste
chinos,jogger,Joggers slim fit con marchio,Lacoste
chinos,jogger,Joggers taglio dritto,Lacoste
chinos,jogger,Joggers taglio dritto con logo,Lacoste
chinos,pantaloni,Pantaloni da cerimonia della squadra di tennis francese,Lacoste
chinos,pantaloni,Pantaloni da golf slim fit elasticizzati Ultra-Dry,Lacoste
chinos,pantaloni,Pantaloni da golf ultra-dry slim fit,Lacoste
chinos,pantaloni,Pantaloni felpati taglio svasato con pieghe,Lacoste
chinos,pantaloni,Pantaloni in Felpa con Gamba Tapered,Lacoste
chinos,pantaloni,Pantaloni morbidi wide fit,Lacoste
chinos,pantaloni,Pantaloni sportivi a gamba affusolata,Lacoste
chinos,pantaloni,Pantaloni sportivi impermeabili,Lacoste
costume,camicia,Camicetta fluida con dettaglio sulla schiena 100% lino,Massimo Dutti
costume,camicia,Camicetta lunga fluida 100% lino,Massimo Dutti
costume,camicia,Camicia morbida plissettata,Massimo Dutti
costume,top,Top a strati asimmetrico total look misto lino,Massimo Dutti
costume,vestito,Vestito caftano waffle misto lino,Massimo Dutti
felpa-cappuccio,cardigan,Cardigan in maglia con cappuccio in misto lana,Massimo Dutti
felpa-cappuccio,parka,Parka con cappuccio e dettaglio in tessuto,Massimo Dutti
felpa-cappuccio,parka,Parka lungo con cappuccio,Massimo Dutti
felpa-cappuccio,vestito,Vestito midi con cappuccio - Studio,Massimo Dutti
felpa-girocollo,giacche,Giacca della tuta in jacquard con zip Paris,Lacoste
felpa-girocollo,giacche,Giacca sportiva midlayer Ultra Dry da allenamento,Lacoste
felpe,blazer,BLAZER DOPPIOPETTO COMPLETO COMFORT,Zara
felpe,giacche,GIACCA A CAMICIA BOXY FIT,Zara
felpe,giacche,Giacca Maglia Strutturata a Coste,Uniqlo
felpe,jeans,JEANS HIGH RISE BARREL FIT WILLY CHAVARRIA X ZARA,Zara
felpe,pantaloni,PANTALONI RELAXED FIT CON PIEGHE,Zara
felpe,pantaloni,PANTALONI WIDE FIT PIEGHE,Zara
felpe,polo,POLO IN MAGLIA MORBIDA,Zara
felpe,polo,POLO IN MAGLIA REGULAR FIT,Zara
felpe,t-shirt,MAGLIETTA RELAX FIT INTERLOCK /04,Zara
felpe,t-shirt,T-shirt Maglia Strutturata a Coste,Uniqlo
giacche,abito,Giacca da abito Havana color sabbia tailored fit,Suitsupply
giacche,abito,Giacca da abito Havana navy tailored fit,Suitsupply
giacche,abito,Giacca da abito Havana navy tailored fit C5778,Suitsupply
giacche,abito,Giacca da abito Havana navy tailored fit C6634,Suitsupply
giacche,abito,Giacca da abito Havana navy tailored fit C6861,Suitsupply
giacche,abito,Giacca da abito Havana Perennial navy tailored fit,Suitsupply
giacche,abito,Giacca da abito Havana tailored fit taupe,Suitsupply
giacche,abito,Giacca da completo in fresco lana,Massimo Dutti
giacche,abito,Giacca da sera Havana color panna tailored fit,Suitsupply
giacche,abito,Giacca Havana azzurra tailored fit,Suitsupply
giacche,abito,Giacca Havana color sabbia tailored fit,Suitsupply
giacche,abito,Giacca Havana grigio scuro tailored fit,Suitsupply
giacche,abito,Giacca Havana navy a quadri tailored fit,Suitsupply
giacche,abito,Giacca Havana navy a quadri tailored fit C25201,Suitsupply
giacche,abito,Giacca Havana navy tailored fit,Suitsupply
giacche,abito,Giacca Havana verde tailored fit,Suitsupply
giacche,abito,Giacca Milano neri spina di pesce tailored fit,Suitsupply
giacche,camicia,Camicia a maniche corte con bottoni a pressione,Massimo Dutti
giacche,camicia,Camicia con bottoni automatici 100% lino,Massimo Dutti
giacche,shorts,Short jacket with pocket detail,Massimo Dutti
giubbotto,giacche,Giacca da lavoro color sabbia,Suitsupply
giubbotto,giacche,Giacca della tuta oversize in misto lino,Lacoste
giubbotto,giacche,Giacca impermeabile stampata,Lacoste
giubbotto,giacche,Giacca in denim di cotone,Lacoste
giubbotto,giacche,Giacca in gabardine elasticizzata con doppio Collo,Lacoste
giubbotto,giacche,Giacca in twill di cotone con zip relaxed fit Archive Re-edition,Lacoste
giubbotto,giacche,Giacca in twill di misto lana,Lacoste
giubbotto,top,Top gilet fiocchi,Mango
